employee_id,date,status
1,2022-10-29,Leave
1,2015-01-21,Absent
1,2020-04-19,Present
1,2014-10-16,Present
1,2022-12-11,Absent
1,2022-01-16,Present
1,2024-06-16,Present
1,2018-05-11,Leave
1,2022-12-20,Present
1,2018-09-15,Leave
1,2016-01-30,Present
1,2022-01-05,Present
1,2017-03-14,Leave
1,2016-11-24,Absent
1,2019-02-12,Absent
1,2015-03-04,Absent
1,2017-08-19,Present
1,2018-03-04,Absent
1,2015-11-03,Absent
1,2019-09-26,Leave
1,2020-11-29,Present
1,2015-01-25,Present
1,2021-08-16,Present
1,2017-07-27,Leave
1,2015-08-29,Absent
1,2018-01-23,Leave
1,2018-11-27,Present
1,2023-03-31,Present
1,2015-06-12,Absent
1,2018-02-12,Present
1,2022-10-27,Absent
1,2020-10-02,Absent
1,2020-11-12,Present
1,2015-03-30,Leave
1,2023-07-01,Present
1,2020-08-02,Leave
1,2023-04-21,Present
1,2022-09-06,Leave
1,2017-02-01,Leave
1,2023-04-28,Present
1,2024-04-02,Present
1,2022-07-15,Leave
1,2015-07-22,Absent
1,2015-08-17,Leave
1,2018-03-23,Leave
1,2018-08-07,Absent
1,2019-02-03,Present
1,2015-02-11,Absent
1,2024-04-17,Leave
1,2023-06-26,Present
1,2022-09-28,Present
1,2024-05-29,Leave
1,2022-11-03,Leave
1,2024-02-28,Present
1,2019-06-12,Absent
1,2014-10-26,Leave
1,2016-12-14,Present
1,2020-11-23,Leave
1,2022-09-09,Present
1,2019-03-10,Absent
1,2016-10-08,Leave
1,2021-09-03,Present
1,2021-01-13,Absent
1,2020-08-03,Leave
1,2020-06-17,Present
1,2019-06-14,Leave
1,2020-09-19,Present
1,2015-04-02,Absent
1,2018-08-21,Present
1,2016-09-20,Leave
1,2020-10-08,Present
1,2018-11-05,Leave
1,2021-02-28,Leave
1,2018-06-15,Leave
1,2016-10-16,Present
1,2021-09-13,Present
1,2018-03-27,Absent
1,2024-05-04,Present
1,2022-05-25,Present
1,2017-09-29,Absent
1,2016-11-16,Absent
1,2022-03-30,Leave
1,2015-06-16,Leave
1,2015-03-04,Present
1,2021-05-27,Present
1,2017-05-05,Absent
1,2024-01-16,Leave
1,2016-02-21,Absent
1,2017-05-08,Present
1,2015-09-16,Absent
1,2022-10-24,Absent
1,2019-08-20,Leave
1,2017-05-19,Leave
1,2021-04-15,Absent
1,2020-03-11,Leave
1,2023-03-16,Leave
1,2020-01-02,Present
1,2024-02-19,Absent
1,2015-10-06,Leave
1,2021-12-10,Absent
1,2021-08-21,Leave
1,2015-09-26,Leave
1,2024-05-17,Absent
1,2019-05-16,Leave
1,2023-02-03,Leave
1,2019-05-20,Present
1,2018-11-15,Absent
1,2023-08-17,Leave
1,2014-11-23,Leave
1,2014-08-22,Leave
1,2016-04-10,Present
