employee_id,benefit_type,benefit_amount,start_date,end_date
1,Retirement Fund,1043,2014-11-03,2015-11-03
1,Life Insurance,3199,2016-06-14,2017-06-14
1,Life Insurance,3937,2017-07-27,2018-07-27
1,Retirement Fund,4922,2018-08-05,2019-08-05
1,Retirement Fund,1461,2019-05-01,2020-04-30
1,Retirement Fund,1936,2020-08-03,2021-08-03
1,Health Insurance,3760,2020-12-18,2021-12-18
1,Retirement Fund,1418,2022-05-10,2023-05-10
1,Life Insurance,1342,2023-02-27,2024-02-27
1,Life Insurance,1477,2023-10-28,2024-10-27
2,Retirement Fund,1749,2015-05-25,2016-05-24
2,Retirement Fund,2889,2016-02-06,2017-02-05
2,Health Insurance,4378,2017-04-01,2018-04-01
2,Retirement Fund,3439,2018-07-02,2019-07-02
2,Life Insurance,4093,2018-09-25,2019-09-25
2,Health Insurance,1993,2020-01-31,2021-01-30
2,Retirement Fund,2455,2021-07-14,2022-07-14
2,Retirement Fund,4946,2022-03-06,2023-03-06
2,Retirement Fund,2490,2023-07-11,2024-07-10
2,Health Insurance,1576,2023-12-30,2024-12-29
3,Health Insurance,2568,2014-12-26,2015-12-26
3,Retirement Fund,3723,2016-03-27,2017-03-27
3,Health Insurance,1010,2017-03-24,2018-03-24
3,Health Insurance,1103,2018-05-17,2019-05-17
3,Retirement Fund,3562,2019-05-21,2020-05-20
3,Life Insurance,4943,2020-04-26,2021-04-26
3,Life Insurance,1599,2021-07-06,2022-07-06
3,Retirement Fund,1804,2021-11-03,2022-11-03
3,Life Insurance,2325,2022-11-29,2023-11-29
3,Health Insurance,4368,2023-12-19,2024-12-18
4,Life Insurance,1940,2014-08-29,2015-08-29
4,Life Insurance,4542,2015-09-07,2016-09-06
4,Retirement Fund,2546,2017-01-27,2018-01-27
4,Health Insurance,1462,2017-09-03,2018-09-03
4,Health Insurance,3362,2018-08-14,2019-08-14
4,Health Insurance,1848,2019-09-26,2020-09-25
4,Retirement Fund,4862,2020-09-11,2021-09-11
4,Health Insurance,1560,2021-10-22,2022-10-22
4,Health Insurance,3921,2022-12-30,2023-12-30
4,Health Insurance,1051,2024-07-27,2025-07-27
5,Health Insurance,4548,2014-12-18,2015-12-18
5,Life Insurance,3933,2016-02-29,2017-02-28
5,Life Insurance,3807,2016-10-11,2017-10-11
5,Life Insurance,1788,2018-04-10,2019-04-10
5,Retirement Fund,1836,2018-09-11,2019-09-11
5,Life Insurance,4208,2019-08-19,2020-08-18
5,Health Insurance,1246,2020-08-14,2021-08-14
5,Health Insurance,2283,2022-02-21,2023-02-21
5,Health Insurance,4310,2023-01-29,2024-01-29
