employee_id,pay_period_start,pay_period_end,total_hours_worked,overtime_hours,gross_pay,net_pay,pay_date
1,2018-12-14,2018-12-28,62,4,3434,3129,2018-12-29
1,2016-01-18,2016-02-01,69,1,3596,3356,2016-02-02
1,2021-05-12,2021-05-26,80,17,3426,3200,2021-05-27
1,2021-01-21,2021-02-04,71,16,2457,1960,2021-02-05
1,2017-03-21,2017-04-04,71,1,2191,1887,2017-04-05
1,2022-07-12,2022-07-26,70,0,3966,3826,2022-07-27
1,2015-04-19,2015-05-03,64,16,3422,3251,2015-05-04
1,2014-08-14,2014-08-28,71,7,3809,3702,2014-08-29
1,2018-12-25,2019-01-08,80,9,2476,2297,2019-01-09
1,2020-09-22,2020-10-06,70,20,3740,3595,2020-10-07
1,2015-03-11,2015-03-25,75,1,3652,3505,2015-03-26
1,2019-06-23,2019-07-07,73,4,3655,3198,2019-07-08
1,2017-06-24,2017-07-08,73,10,2962,2694,2017-07-09
1,2016-08-07,2016-08-21,80,20,2931,2785,2016-08-22
1,2024-02-23,2024-03-08,74,3,2386,2247,2024-03-09
1,2022-05-04,2022-05-18,62,17,3493,3047,2022-05-19
1,2022-01-01,2022-01-15,67,12,3614,3266,2022-01-16
1,2014-12-22,2015-01-05,79,16,2617,2355,2015-01-06
1,2019-09-01,2019-09-15,66,19,2609,2189,2019-09-16
1,2022-07-24,2022-08-07,61,11,2065,1634,2022-08-08
1,2023-08-12,2023-08-26,77,2,2128,1828,2023-08-27
1,2021-09-30,2021-10-14,72,11,3343,3171,2021-10-15
1,2015-07-08,2015-07-22,74,0,3613,3345,2015-07-23
1,2017-07-16,2017-07-30,67,5,2095,1711,2017-07-31
2,2023-10-31,2023-11-14,65,6,3486,3319,2023-11-15
2,2024-01-12,2024-01-26,69,12,2134,2034,2024-01-27
2,2021-04-19,2021-05-03,67,18,3137,2664,2021-05-04
2,2020-04-20,2020-05-04,80,20,2211,1746,2020-05-05
2,2023-10-18,2023-11-01,68,2,3105,2784,2023-11-02
2,2019-10-31,2019-11-14,74,3,3100,2836,2019-11-15
2,2021-12-30,2022-01-13,66,14,2974,2489,2022-01-14
2,2015-03-12,2015-03-26,72,18,3116,3002,2015-03-27
2,2014-11-04,2014-11-18,72,5,2573,2345,2014-11-19
2,2022-01-29,2022-02-12,74,18,3396,2901,2022-02-13
2,2021-06-20,2021-07-04,73,9,3739,3473,2021-07-05
2,2017-11-02,2017-11-16,73,18,3715,3546,2017-11-17
2,2015-08-13,2015-08-27,75,0,2881,2606,2015-08-28
2,2016-02-18,2016-03-03,78,18,2662,2180,2016-03-04
2,2016-01-01,2016-01-15,76,4,3367,3187,2016-01-16
2,2018-11-05,2018-11-19,62,9,2598,2338,2018-11-20
2,2018-11-28,2018-12-12,66,7,3930,3588,2018-12-13
2,2016-09-16,2016-09-30,74,15,3316,2994,2016-10-01
2,2017-11-06,2017-11-20,76,18,3160,3007,2017-11-21
2,2017-12-17,2017-12-31,65,14,3685,3404,2018-01-01
2,2020-07-20,2020-08-03,79,0,2773,2466,2020-08-04
2,2014-12-03,2014-12-17,65,12,2513,2352,2014-12-18
2,2022-01-31,2022-02-14,74,10,2051,1889,2022-02-15
2,2022-01-12,2022-01-26,66,4,3185,3030,2022-01-27
3,2018-09-20,2018-10-04,68,18,3540,3240,2018-10-05
3,2014-09-20,2014-10-04,70,15,3186,2753,2014-10-05
3,2021-10-31,2021-11-14,60,16,3829,3387,2021-11-15
3,2016-11-26,2016-12-10,78,2,3538,3371,2016-12-11
3,2020-04-13,2020-04-27,71,7,2011,1660,2020-04-28
3,2023-04-17,2023-05-01,69,16,2745,2453,2023-05-02
3,2019-10-06,2019-10-20,69,7,2899,2699,2019-10-21
3,2015-07-07,2015-07-21,68,14,2975,2604,2015-07-22
3,2021-07-25,2021-08-08,67,1,3533,3249,2021-08-09
3,2022-12-12,2022-12-26,79,15,2129,2009,2022-12-27
3,2021-11-29,2021-12-13,74,0,2443,2180,2021-12-14
3,2019-04-29,2019-05-13,62,16,2557,2335,2019-05-14
3,2017-04-23,2017-05-07,72,18,2367,2039,2017-05-08
3,2021-03-30,2021-04-13,77,12,3576,3154,2021-04-14
3,2021-08-18,2021-09-01,66,11,2619,2495,2021-09-02
3,2018-09-18,2018-10-02,68,15,3381,3272,2018-10-03
3,2015-07-11,2015-07-25,69,9,3155,2800,2015-07-26
3,2017-11-19,2017-12-03,79,3,3003,2712,2017-12-04
3,2016-03-01,2016-03-15,61,12,2897,2484,2016-03-16
3,2023-09-05,2023-09-19,60,7,3807,3336,2023-09-20
3,2016-02-04,2016-02-18,67,13,3066,2725,2016-02-19
3,2021-02-23,2021-03-09,62,6,3887,3544,2021-03-10
3,2014-08-16,2014-08-30,73,9,3837,3357,2014-08-31
3,2020-05-25,2020-06-08,72,18,3086,2945,2020-06-09
4,2020-08-07,2020-08-21,72,6,2631,2137,2020-08-22
4,2015-10-29,2015-11-12,75,0,3331,3159,2015-11-13
4,2015-10-25,2015-11-08,65,5,2504,2185,2015-11-09
4,2016-04-08,2016-04-22,65,7,2427,2065,2016-04-23
4,2019-11-20,2019-12-04,65,10,2963,2702,2019-12-05
4,2024-01-22,2024-02-05,74,10,2027,1784,2024-02-06
4,2016-06-20,2016-07-04,60,13,2676,2491,2016-07-05
4,2020-08-20,2020-09-03,72,13,2737,2601,2020-09-04
4,2019-03-16,2019-03-30,63,15,2391,2194,2019-03-31
4,2019-11-06,2019-11-20,69,4,2559,2355,2019-11-21
4,2022-04-04,2022-04-18,68,16,3183,2979,2022-04-19
4,2017-07-15,2017-07-29,69,14,3220,3026,2017-07-30
4,2015-09-30,2015-10-14,68,7,3881,3663,2015-10-15
4,2021-04-11,2021-04-25,80,9,3157,2892,2021-04-26
4,2021-06-02,2021-06-16,78,17,3023,2687,2021-06-17
4,2015-07-16,2015-07-30,70,1,2797,2641,2015-07-31
4,2018-11-08,2018-11-22,69,14,3721,3425,2018-11-23
4,2016-11-09,2016-11-23,60,4,3932,3800,2016-11-24
4,2023-10-02,2023-10-16,76,10,2145,2020,2023-10-17
4,2023-03-03,2023-03-17,69,10,2495,2246,2023-03-18
4,2022-12-28,2023-01-11,64,16,2815,2697,2023-01-12
4,2018-07-07,2018-07-21,76,12,2682,2537,2018-07-22
4,2020-12-16,2020-12-30,79,13,3742,3389,2020-12-31
4,2016-02-16,2016-03-01,70,4,3274,2980,2016-03-02
5,2014-12-25,2015-01-08,70,14,2504,2246,2015-01-09
5,2019-12-28,2020-01-11,77,8,3907,3408,2020-01-12
5,2018-05-03,2018-05-17,73,8,2513,2380,2018-05-18
5,2018-09-02,2018-09-16,73,18,2939,2570,2018-09-17
5,2022-12-07,2022-12-21,75,17,3690,3266,2022-12-22
5,2022-05-28,2022-06-11,64,11,2172,1945,2022-06-12
5,2023-12-20,2024-01-03,79,3,3582,3332,2024-01-04
5,2016-12-26,2017-01-09,62,10,3068,2657,2017-01-10
5,2020-05-21,2020-06-04,72,16,3856,3558,2020-06-05
5,2021-12-18,2022-01-01,74,0,3290,3158,2022-01-02
5,2018-11-22,2018-12-06,80,18,2958,2500,2018-12-07
5,2015-10-11,2015-10-25,65,9,3500,3295,2015-10-26
5,2019-02-04,2019-02-18,67,5,2693,2215,2019-02-19
5,2024-03-26,2024-04-09,60,2,2210,2075,2024-04-10
5,2016-10-01,2016-10-15,79,12,3187,2694,2016-10-16
5,2018-02-23,2018-03-09,76,15,2759,2563,2018-03-10
5,2017-08-28,2017-09-11,64,17,2276,1917,2017-09-12
5,2019-03-21,2019-04-04,64,12,2082,1803,2019-04-05
5,2014-11-30,2014-12-14,79,16,2977,2528,2014-12-15
5,2015-07-29,2015-08-12,65,11,2411,2112,2015-08-13
5,2020-07-11,2020-07-25,70,17,3870,3605,2020-07-26
5,2015-02-04,2015-02-18,72,4,3567,3252,2015-02-19
5,2020-02-05,2020-02-19,64,2,2952,2521,2020-02-20
5,2019-08-27,2019-09-10,70,3,2409,2283,2019-09-11
6,2016-10-23,2016-11-06,78,16,3661,3209,2016-11-07
6,2022-05-26,2022-06-09,72,9,2056,1805,2022-06-10
6,2019-07-15,2019-07-29,69,13,3715,3576,2019-07-30
6,2022-10-09,2022-10-23,68,13,2102,1811,2022-10-24
6,2017-06-10,2017-06-24,80,18,2133,1655,2017-06-25
6,2018-10-24,2018-11-07,72,7,2874,2738,2018-11-08
6,2015-11-08,2015-11-22,68,5,2426,2216,2015-11-23
6,2023-08-04,2023-08-18,69,8,2865,2703,2023-08-19
6,2018-11-01,2018-11-15,69,0,2146,1687,2018-11-16
6,2017-03-09,2017-03-23,70,13,2237,1976,2017-03-24
6,2017-02-15,2017-03-01,67,12,2831,2557,2017-03-02
6,2021-08-23,2021-09-06,80,2,2188,1761,2021-09-07
6,2024-07-15,2024-07-29,68,14,3047,2655,2024-07-30
6,2016-04-19,2016-05-03,78,6,2787,2371,2016-05-04
6,2021-03-21,2021-04-04,62,7,3437,3330,2021-04-05
6,2017-08-07,2017-08-21,62,9,2131,1911,2017-08-22
6,2020-07-05,2020-07-19,72,2,3436,3097,2020-07-20
6,2017-10-17,2017-10-31,66,1,3514,3229,2017-11-01
6,2019-09-26,2019-10-10,74,12,2976,2696,2019-10-11
6,2022-09-11,2022-09-25,76,6,2726,2464,2022-09-26
6,2020-07-12,2020-07-26,71,20,2146,2033,2020-07-27
6,2018-12-09,2018-12-23,68,5,3240,2827,2018-12-24
6,2019-08-25,2019-09-08,80,12,2118,1830,2019-09-09
6,2019-04-04,2019-04-18,70,7,3578,3129,2019-04-19
7,2023-04-27,2023-05-11,65,17,2944,2615,2023-05-12
7,2014-10-20,2014-11-03,61,15,3809,3337,2014-11-04
7,2020-12-05,2020-12-19,67,8,2029,1809,2020-12-20
7,2023-01-14,2023-01-28,76,15,3769,3413,2023-01-29
7,2016-06-22,2016-07-06,76,8,2996,2639,2016-07-07
7,2021-12-09,2021-12-23,65,1,2876,2634,2021-12-24
7,2020-11-27,2020-12-11,74,18,3886,3711,2020-12-12
7,2018-05-17,2018-05-31,77,9,3799,3358,2018-06-01
7,2022-10-11,2022-10-25,66,7,3797,3489,2022-10-26
7,2021-06-19,2021-07-03,74,0,3585,3308,2021-07-04
7,2020-12-05,2020-12-19,75,9,2055,1737,2020-12-20
7,2015-08-29,2015-09-12,64,5,3565,3370,2015-09-13
7,2023-06-03,2023-06-17,78,3,2923,2673,2023-06-18
7,2021-10-18,2021-11-01,62,14,3872,3750,2021-11-02
7,2024-01-01,2024-01-15,64,17,2985,2789,2024-01-16
7,2015-05-27,2015-06-10,79,18,2383,2124,2015-06-11
7,2023-03-24,2023-04-07,73,15,2006,1567,2023-04-08
7,2023-06-07,2023-06-21,71,7,3894,3637,2023-06-22
7,2022-03-22,2022-04-05,70,20,2303,2109,2022-04-06
7,2014-10-08,2014-10-22,75,11,2591,2117,2014-10-23
7,2019-04-27,2019-05-11,76,13,2690,2267,2019-05-12
7,2022-07-04,2022-07-18,80,18,2478,2145,2022-07-19
7,2017-07-14,2017-07-28,78,3,3594,3121,2017-07-29
7,2021-11-21,2021-12-05,69,19,2930,2541,2021-12-06
8,2021-09-30,2021-10-14,62,18,3330,3081,2021-10-15
8,2024-03-07,2024-03-21,79,16,2233,1842,2024-03-22
8,2024-05-30,2024-06-13,69,15,3312,2946,2024-06-14
8,2022-05-10,2022-05-24,80,8,3420,3158,2022-05-25
8,2017-04-27,2017-05-11,66,6,3438,3318,2017-05-12
8,2015-11-16,2015-11-30,63,8,2398,2009,2015-12-01
8,2018-06-18,2018-07-02,72,16,3353,3014,2018-07-03
8,2022-10-16,2022-10-30,73,5,3611,3130,2022-10-31
8,2018-12-08,2018-12-22,68,15,2162,2044,2018-12-23
8,2024-02-07,2024-02-21,73,6,2376,2194,2024-02-22
8,2023-02-04,2023-02-18,67,8,3129,2709,2023-02-19
8,2021-05-13,2021-05-27,80,3,3487,3181,2021-05-28
8,2018-01-11,2018-01-25,65,15,2180,1834,2018-01-26
8,2018-12-20,2019-01-03,68,8,3048,2591,2019-01-04
8,2018-06-02,2018-06-16,73,19,3415,3206,2018-06-17
8,2017-02-04,2017-02-18,61,10,3003,2657,2017-02-19
8,2023-01-12,2023-01-26,62,7,3553,3437,2023-01-27
8,2015-03-09,2015-03-23,63,6,3387,3086,2015-03-24
