employee_id,review_date,performance_score,comments
1,2015-01-17,2.98,Move child establish course compare baby.
1,2016-04-16,4.6,Get these direction message my.
1,2017-06-07,1.79,Explain eat candidate necessary whom.
1,2017-08-08,2.65,Before beat home fact meet physical.
1,2019-02-17,2.88,Appear popular buy should marriage cultural.
1,2020-03-02,2.11,Various major central cover.
1,2020-09-11,2.01,Specific number wonder we leave drive everybody.
1,2022-03-12,2.19,Brother team eat nor to appear.
1,2022-12-12,3.1,Capital visit job.
1,2023-10-31,2.85,With rich far drive choice fear.
2,2015-07-29,3.73,Across expert share rate maintain.
2,2015-09-08,2.85,Left stock majority sign.
2,2017-06-11,4.02,Ask education executive.
2,2018-07-04,3.57,Pick go someone others themselves.
2,2019-02-16,1.89,Professor hundred seat line total heavy test.
2,2019-10-17,4.54,Health we pay drop least.
2,2020-09-23,3.87,Behavior range ten baby fine.
2,2021-10-24,3.87,Never with next different with early.
2,2022-09-07,2.22,Tend big model house talk.
2,2023-09-12,1.18,Wear identify hour measure man house change.
3,2015-03-04,3.57,Maybe only modern every theory which.
3,2016-01-01,4.9,Though seven soldier goal whether.
3,2016-08-25,2.9,Himself list order.
3,2018-07-02,4.34,About source animal start feeling service author weight.
3,2018-12-14,4.1,On own similar account deal.
3,2020-03-30,2.04,Either official hot agent participant itself.
3,2021-06-02,3.15,Exactly western ahead join heavy their statement.
3,2021-08-20,3.98,Performance reflect as think against different relationship.
3,2023-08-06,2.38,Deep everybody imagine glass water.
3,2023-12-23,2.99,Guess almost partner production house exactly guess box.
4,2014-08-08,2.74,Hand value level fine realize.
4,2016-06-12,4.13,Accept measure ten family study.
4,2017-03-04,2.09,Street professor standard kitchen.
4,2018-03-28,4.11,Money lot course month administration American amount current.
4,2018-11-20,4.8,Hair reach for interest institution.
4,2019-11-28,1.33,Teacher management firm floor exist rise arm.
4,2021-06-21,4.82,Indeed power degree outside upon development ground.
4,2021-11-21,2.15,Current appear television power structure meet truth.
4,2023-08-06,2.11,Pull least opportunity television ball son true.
4,2023-10-06,4.09,Order he natural structure process.
5,2014-10-27,4.07,Agency matter office win perhaps this.
5,2016-07-29,1.96,Good range return claim fight.
5,2016-12-01,3.12,Pay military may interview control.
5,2017-08-31,1.53,Point agent share back husband stand staff.
5,2019-06-25,2.17,Local maybe they almost.
5,2020-04-27,2.16,Measure issue class the.
5,2021-05-06,2.22,Space scientist get record method enough network.
5,2022-04-25,1.76,Source find throughout off choice notice attorney.
5,2022-11-14,4.83,Language coach even between marriage sister treat.
5,2023-11-09,1.07,Station this entire party marriage but.
6,2014-10-02,2.97,Catch interesting per so pay attention national.
6,2015-10-07,3.12,Early them tonight such forward.
6,2016-08-27,2.9,Price soldier night party.
6,2017-11-10,2.46,Side focus young sister event.
6,2019-05-12,3.52,Edge sit affect involve physical happen.
6,2020-01-04,4.78,Room walk yourself much.
6,2021-04-04,3.4,Through phone simply remain gun.
6,2022-06-24,1.16,Forget account stop most weight candidate.
6,2023-04-20,1.5,Budget war possible.
6,2024-05-25,1.36,Once pull central cup dinner answer leg.
7,2014-09-01,3.96,Break simple those much detail medical site.
7,2016-05-17,3.72,Government Mr pick two.
7,2016-08-11,1.22,Staff season himself article include.
7,2017-10-08,1.82,Administration left agree enter green industry.
