employee_id,base_salary,bonus,deductions,pay_date
1,57124,3863,3280,2015-03-07
1,70546,5731,4279,2015-12-02
1,51616,7042,2047,2016-10-13
1,60436,1123,1883,2018-01-26
1,71051,2243,1272,2018-12-05
1,57173,2314,2813,2020-05-13
1,96299,4772,3415,2020-12-10
1,82692,1237,1555,2022-06-15
1,56194,8342,4444,2023-02-06
1,81309,976,2774,2024-03-07
2,97379,2800,3467,2015-01-30
2,97220,7924,1609,2015-08-18
2,75160,9427,4901,2016-12-11
2,84363,1834,1730,2017-08-09
2,84845,9025,3336,2018-09-10
2,60532,6596,1288,2020-04-04
2,76710,6820,4093,2021-05-16
2,94546,5206,2792,2022-07-13
2,96762,2100,2471,2022-08-12
2,70367,237,2587,2024-05-13
3,79191,5134,2858,2015-03-18
3,91555,8082,2555,2016-07-29
3,66509,795,2696,2017-05-29
3,81929,79,4918,2017-12-12
3,55892,6026,1100,2019-01-10
3,53277,8856,1061,2020-07-18
3,89439,8545,1377,2021-07-03
3,76617,6633,3478,2022-04-06
3,51491,2880,2157,2023-04-22
3,54774,9344,2431,2023-11-18
4,76855,430,4373,2015-01-09
4,67608,4206,2621,2016-05-08
4,98987,7406,3067,2016-08-18
4,83711,6573,4034,2017-09-22
4,97294,2381,2225,2019-02-04
4,93317,2002,1649,2020-01-30
4,94804,1525,4985,2021-04-15
4,53938,9455,2316,2022-06-27
4,93885,3252,1298,2023-05-17
4,60612,2746,1526,2023-09-22
5,61015,4710,4885,2014-11-11
5,70164,4828,3437,2016-02-12
5,67641,6021,4089,2016-10-26
5,80170,7838,4661,2017-09-08
5,99596,643,1102,2018-12-15
5,97561,4140,4708,2020-01-24
5,68703,3261,3719,2021-01-24
5,57737,3698,1817,2022-07-16
5,93578,5211,2268,2023-02-23
5,76130,4359,3736,2023-09-20
6,59198,4796,3751,2015-04-02
6,63009,4424,1176,2016-07-31
6,95075,2538,3119,2017-01-18
6,50552,5977,4333,2018-03-29
6,89368,8374,4554,2019-07-05
6,73606,9999,4727,2019-09-10
6,64140,7333,1998,2021-03-03
6,94354,9552,3921,2022-01-05
6,91941,4316,4398,2023-02-19
6,63098,5830,3393,2024-02-07
7,59984,7675,3670,2015-06-21
7,68434,5343,2859,2015-09-05
7,93149,6126,1213,2017-05-31
7,98154,493,2875,2018-06-26
7,99565,6502,2637,2019-07-04
7,74526,8599,1074,2020-03-20
7,81843,4015,4962,2021-05-03
7,55205,1710,2533,2021-10-15
7,52146,3284,3121,2023-03-09
7,99063,5618,2452,2023-12-22
8,78562,6441,2890,2014-10-30
8,89751,8099,2909,2016-04-24
8,54942,8184,2345,2017-03-03
8,62651,110,3636,2017-11-24
8,97032,5694,1472,2019-04-12
8,63906,7806,1021,2019-11-15
8,78920,4271,1327,2020-10-29
